Label,Overall_Total,PB_BE,Result
LCA_ACIDIFICATION,287.7047606340244,1375.0,0.20923982591565413
LCA_CO2,55418.360453,9363.75,5.9183938542784675
LCA_ECOTOXICITY,1706887.165107477,180125.0,9.476125829881898
LCA_FRESHWATER_EUT,10.47811677404538,7.98875,1.3116090469779855
LCA_MARINE_EUT,76.89761968381933,276.375,0.27823652531458826
LCA_TERRESTRIAL_EUT,779.1252448405314,8428.75,0.09243662996773322
LCA_HUMAN_TOXICITY_CARC,5.205819146844348e-05,0.00132275,0.03935603210617538
LCA_HUMAN_TOXICITY_NOCARC,0.001212218714055152,0.005637499999999999,0.21502770981022654
LCA_IONIZING_RADIATION,7444.648764247731,724625.0,0.010273795086075876
LCA_LANDUSE,469114.3285394961,17462.5,26.864098985797916
LCA_MINERAL_DEPLETION,1.583392630692572,0.301125,5.258256971996919
LCA_PARTICULATE_MATTER,0.003482171860799269,0.0007095,4.907923693867892
LCA_OZONE_TROPOS,217.7859031096596,559.625,0.3891639993024965
LCA_WATER_DEPLETION,23024.51484057913,250249.99999999997,0.09200605330900752
LCA_ABIOTIC_DEPLETION,1089853.179240064,308000.0,3.538484348182026
LCA_OZONE_DEPLETION,0.01170548647568677,0.7411249999999999,0.015794213493927168
