Label,Overall_Total,PB_BE,Result
LCA_ACIDIFICATION,313.4100060659908,1375.0,0.22793454986617512
LCA_CO2,55418.35546799999,9363.75,5.9183933219062865
LCA_ECOTOXICITY,1822091.915612631,180125.0,10.115708067245697
LCA_FRESHWATER_EUT,11.93122511386366,7.98875,1.4935033783587746
LCA_MARINE_EUT,80.04628894662125,276.375,0.2896292680112935
LCA_TERRESTRIAL_EUT,812.0665687331676,8428.75,0.09634483983190481
LCA_HUMAN_TOXICITY_CARC,5.340236283525485e-05,0.00132275,0.04037222667567934
LCA_HUMAN_TOXICITY_NOCARC,0.00127198053060175,0.005637499999999999,0.22562847549476722
LCA_IONIZING_RADIATION,7283.587559693672,724625.0,0.010051526734095114
LCA_LANDUSE,501499.8846617299,17462.5,28.718676286999564
LCA_MINERAL_DEPLETION,1.62657260731335,0.301125,5.401652494191283
LCA_PARTICULATE_MATTER,0.00376847222375547,0.0007095,5.311447813608837
LCA_OZONE_TROPOS,223.6561625511298,559.625,0.39965362975408497
LCA_WATER_DEPLETION,27007.07621149811,250249.99999999997,0.10792038446153093
LCA_ABIOTIC_DEPLETION,1073956.729830821,308000.0,3.4868724994507176
LCA_OZONE_DEPLETION,0.0111584878157654,0.7411249999999999,0.015056148174417812
