Label,Overall_Total,PB_BE,Result
LCA_ACIDIFICATION,296.3915668829171,1375.0,0.21555750318757608
LCA_CO2,55418.359432,9363.75,5.918393745240955
LCA_ECOTOXICITY,1748066.0660872,180125.0,9.704738743024011
LCA_FRESHWATER_EUT,10.89683531068298,7.98875,1.364022570575244
LCA_MARINE_EUT,78.18364710022908,276.375,0.282889722660259
LCA_TERRESTRIAL_EUT,792.8724637449385,8428.75,0.09406762138453964
LCA_HUMAN_TOXICITY_CARC,5.347176988129912e-05,0.00132275,0.04042469845496059
LCA_HUMAN_TOXICITY_NOCARC,0.001245933926277878,0.005637499999999999,0.22100823525993404
LCA_IONIZING_RADIATION,7441.914003084926,724625.0,0.010270021049625567
LCA_LANDUSE,497856.0108418674,17462.5,28.51000777906184
LCA_MINERAL_DEPLETION,1.623813200403315,0.301125,5.3924888348802495
LCA_PARTICULATE_MATTER,0.003563441202573046,0.0007095,5.022468220680826
LCA_OZONE_TROPOS,220.4744711373169,559.625,0.3939682307568763
LCA_WATER_DEPLETION,26876.79242643566,250249.99999999997,0.10739976993580684
LCA_ABIOTIC_DEPLETION,1079589.730951967,308000.0,3.505161464129763
LCA_OZONE_DEPLETION,0.01151479256470268,0.7411249999999999,0.015536910190187459
