Label,Overall_Total,PB_BE,Result
LCA_ACIDIFICATION,313.4233598517823,1375.0,0.22794426171038715
LCA_CO2,55418.35445000001,9363.75,5.9183932131891615
LCA_ECOTOXICITY,1822151.239715492,180125.0,10.1160374168799
LCA_FRESHWATER_EUT,11.93201001405764,7.98875,1.493601629048054
LCA_MARINE_EUT,80.04792053911208,276.375,0.28963517155716717
LCA_TERRESTRIAL_EUT,812.0833099977344,8428.75,0.09634682604155236
LCA_HUMAN_TOXICITY_CARC,5.34029144764624e-05,0.00132275,0.040372643716849295
LCA_HUMAN_TOXICITY_NOCARC,0.001272009088513154,0.005637499999999999,0.22563354119967258
LCA_IONIZING_RADIATION,7283.450643993508,724625.0,0.010051337787122316
LCA_LANDUSE,501504.0789147421,17462.5,28.71891647328516
LCA_MINERAL_DEPLETION,1.62659107921913,0.301125,5.401713837174364
LCA_PARTICULATE_MATTER,0.003768628369592651,0.0007095,5.311667892308177
LCA_OZONE_TROPOS,223.6586801577802,559.625,0.39965812849279464
LCA_WATER_DEPLETION,27007.33676842701,250249.99999999997,0.10792142564805998
LCA_ABIOTIC_DEPLETION,1073947.709577982,308000.0,3.4868432129155265
LCA_OZONE_DEPLETION,0.01115823568604649,0.7411249999999999,0.01505580797577533
